NURS90090,NURS90092,NURS90093,NURS90094,NURS90095,NURS90096,NURS90097,NURS90098,NURS90099,NURS90100,NURS90101,NURS90102,NURS90103,NURS90104,NURS90105,NURS90106,NURS90108,NURS90109,NURS90110,NURS90111,NURS90112,NURS90113,NURS90114,NURS90115,NURS90116,NURS90117,NURS90118,NURS90119,NURS90120,NURS90121,NURS90122,NURS90123,NURS90124,NURS90125,NURS90126,NURS90127,NURS90128,NURS90129,NURS90130,NURS90131,NURS90132,NURS90133,NURS90134,NUTR20001,NUTR30001,NUTR30002,NUTR30003,NUTR30004,OPTO20004,OPTO30007,OPTO40012,OPTO40013,OPTO90006,OPTO90007,OPTO90009,OPTO90010,OPTO90015,OPTO90016,OPTO90017,OPTO90018,OPTO90019,OPTO90020,OPTO90021,OPTO90022,OPTO90023,OPTO90024,OPTO90025,OPTO90026,OPTO90027,OPTO90028,OPTO90029,OPTO90031,ORAL10001,ORAL10002,ORAL10003,ORAL10004,ORAL10005,ORAL20001,ORAL20002,ORAL20003,ORAL20004,ORAL20005,ORAL30001,ORAL30002,ORAL30003,ORAL40001,ORAL40002,ORAL90001,ORAL90002,ORAL90003,OTOL40001,OTOL40002,OTOL40003,PADM10001,PADM90001,PADM90002,PADM90003,PADM90004,PADM90005,PADM90006,PADM90007,PADM90008,PADM90009,PADM90010,PADM90011,PADM90012,PADM90013,PADM90014,PADM90015,PADM90016,PADM90017,PAED40001,PAED40002,PAED40005,PAED90005,PAED90007,PAED90016,PAED90020,PAED90023,PAED90026,PATH20001,PATH20003,PATH30001,PATH30002,PATH30003,PATH30004,PATH40001,PATH40002,PATH40005,PATH40006,PATH40007,PERF30001,PHIL10002,PHIL10003,PHIL10004,PHIL20001,PHIL20008,PHIL20030,PHIL20033,PHIL20038,PHIL20039,PHIL20040,PHIL20041,PHIL20043,PHIL20044,PHIL20045,PHIL30007,PHIL30016,PHIL30024,PHIL30043,PHIL30047,PHIL30051,PHIL30052,PHIL30053,PHIL30054,PHIL40002,PHIL40003,PHIL40004,PHIL40005,PHIL40007,PHIL40013,PHIL40017,PHIL40018,PHIL40020,PHIL40021,PHIL40022,PHIL70004,PHIL70005,PHIL90004,PHIL90005,PHIL90007,PHIL90009,PHIL90010,PHIL90021,PHIL90022,PHIL90024,PHIL90025,PHIL90027,PHIL90029,PHIL90030,PHIL90032,PHIL90034,PHIL90035,PHIL90036,PHIL90037,PHIL90038,PHIL90039,PHIL90040,PHIL90041,PHIL90042,PHRM20001,PHRM30002,PHRM30003,PHRM30008,PHRM30009,PHRM40001,PHRM40002,PHRM40006,PHRM90001
PHRM90002,PHRM90022,PHTY90002,PHTY90003,PHTY90004,PHTY90013,PHTY90030,PHTY90040,PHTY90082,PHTY90083,PHTY90089,PHTY90090,PHTY90091,PHTY90092,PHTY90093,PHTY90094,PHTY90095,PHTY90096,PHTY90097,PHTY90098,PHTY90099,PHTY90100,PHTY90101,PHTY90102,PHTY90103,PHTY90104,PHTY90106,PHTY90107,PHTY90108,PHTY90109,PHTY90111,PHTY90112,PHTY90113,PHYC10001,PHYC10002,PHYC10003,PHYC10004,PHYC10005,PHYC10006,PHYC10007,PHYC10008,PHYC20009,PHYC20010,PHYC20011,PHYC20012,PHYC20013,PHYC20014,PHYC20015,PHYC30011,PHYC30014,PHYC30015,PHYC30016,PHYC30017,PHYC30018,PHYC30019,PHYC30020,PHYC30021,PHYC30022,PHYC40002,PHYC40004,PHYC40007,PHYC40008,PHYC40009,PHYC40010,PHYC40011,PHYC40012,PHYC40013,PHYC40014,PHYC40015,PHYC40016,PHYC90006,PHYC90007,PHYC90008,PHYC90009,PHYC90010,PHYC90011,PHYC90012,PHYC90013,PHYC90021,PHYC90022,PHYC90023,PHYC90024,PHYC90029,PHYC90030,PHYC90033,PHYC90034,PHYC90035,PHYC90038,PHYC90040,PHYC90044,PHYC90045,PHYC90046,PHYC90047,PHYC90048,PHYC90049,PHYC90050,PHYS20008,PHYS20009,PHYS30001,PHYS30005,PHYS30008,PHYS30009,PHYS40005,PHYS40006,PHYS90007,PHYS90008,PLAN10001,PLAN10002,PLAN20002,PLAN30001,PLAN30003,PLAN30004,PLAN90001,POLS10001,POLS10003,POLS20006,POLS20008,POLS20011,POLS20023,POLS20025,POLS20026,POLS20028,POLS20029,POLS20030,POLS20031,POLS20032,POLS30001,POLS30002,POLS30003,POLS30007,POLS30011,POLS30015,POLS30018,POLS30019,POLS30022,POLS30028,POLS30030,POLS30031,POLS30032,POLS30033,POLS30034,POLS30035,POLS30036,POLS40013,POLS40021,POLS40022,POLS40023,POLS40024,POLS40025,POLS80001,POLS90007,POLS90009,POLS90011,POLS90012,POLS90013,POLS90015,POLS90016,POLS90017,POLS90022,POLS90023,POLS90024,POLS90026,POLS90028,POLS90030,POLS90031,POLS90034,POLS90035,POLS90037,POLS90038,POLS90041,POLS90042,POLS90043,POLS90044,POLS90045,POLS90046,POLS90047,POLS90048,POLS90050,POLS90051,POLS90052,POLS90053,POLS90054,POLS90055,POLS90056,POLS90057,POLS90058,POLS90059,POLS90060,POLS90061,POPH20001,POPH40005,POPH40006,POPH90013,POPH90014,POPH90020,POPH90058,POPH90066,POPH90068,POPH90069,POPH90070
POPH90086,POPH90087,POPH90088,POPH90090,POPH90093,POPH90094,POPH90095,POPH90111,POPH90112,POPH90117,POPH90118,POPH90119,POPH90120,POPH90121,POPH90122,POPH90123,POPH90124,POPH90131,POPH90137,POPH90139,POPH90144,POPH90145,POPH90148,POPH90149,POPH90151,POPH90167,POPH90168,POPH90169,POPH90170,POPH90171,POPH90172,POPH90173,POPH90189,POPH90190,POPH90191,POPH90199,POPH90200,POPH90201,POPH90205,POPH90206,POPH90209,POPH90217,POPH90218,POPH90226,POPH90227,POPH90229,POPH90230,POPH90231,POPH90233,POPH90239,POPH90242,POPH90243,POPH90244,POPH90245,POPH90246,POPH90247,POPH90255,POPH90256,POPH90257,POPH90258,POPH90259,POPH90260,POPH90262,POPH90263,POPH90264,POPH90266,POPH90267,POPH90268,POPH90270,POPH90271,POPH90273,POPH90274,POPH90275,POPH90276,POPH90277,POPH90278,POPH90279,POPH90280,POPH90281,POPH90282,POPH90283,POPH90284,POPH90285,POPH90286,POPH90287,POPH90288,POPH90289,POPH90290,POPH90291,POPH90292,POPH90294,POPH90295,PPMN10001,PPMN20001,PPMN20002,PPMN40006,PPMN40007,PPMN50001,PPMN90006,PPMN90007,PPMN90010,PPMN90030,PPMN90031,PPMN90032,PPMN90033,PPMN90035,PPMN90037,PPMN90039,PPMN90042,PPMN90043,PPMN90044,PPMN90045,PPMN90046,PPMN90048,PPMN90049,PPMN90050,PPMN90051,PPMN90054,PPMN90055,PROP10001,PROP20001,PROP20002,PROP20003,PROP30001,PROP30002,PROP30003,PSYC10003,PSYC10004,PSYC20001,PSYC20006,PSYC20007,PSYC20008,PSYC20009,PSYC30011,PSYC30012,PSYC30013,PSYC30014,PSYC30016,PSYC30017,PSYC30018,PSYC30019,PSYC30020,PSYC30021,PSYC30022,PSYC40001,PSYC40002,PSYC40004,PSYC40005,PSYC40006,PSYC40008,PSYC40010,PSYC40012,PSYC40013,PSYC40014,PSYC80004,PSYC90003,PSYC90005,PSYC90006,PSYC90007,PSYC90008,PSYC90009,PSYC90010,PSYC90011,PSYC90012,PSYC90014,PSYC90015,PSYC90016,PSYC90017,PSYC90023,PSYC90027,PSYC90029,PSYC90030,PSYC90031,PSYC90032,PSYC90033,PSYC90039,PSYC90042,PSYC90062,PSYC90075,PSYC90076,PSYC90077,PSYC90078,PSYC90079,PSYC90080,PSYC90082,PSYC90083,PSYC90084,PSYC90086,PSYC90087,PSYC90088,PSYC90089,PSYC90090,PSYC90091,PSYC90092,PSYC90093,PSYC90094,PSYC90095,PSYC90096,PSYC90097,PSYC90098
PSYC90099,PSYC90100,PSYC90101,PSYC90102,PSYC90103,PSYC90104,PSYC90105,PSYC90106,PSYC90107,PSYC90108,PSYC90109,PSYT90004,PSYT90006,PSYT90009,PSYT90010,PSYT90014,PSYT90016,PSYT90022,PSYT90023,PSYT90024,PSYT90027,PSYT90028,PSYT90029,PSYT90030,PSYT90032,PSYT90038,PSYT90039,PSYT90040,PSYT90041,PSYT90057,PSYT90059,PSYT90060,PSYT90061,PSYT90062,PSYT90068,PSYT90078,PSYT90079,PSYT90080,PSYT90081,PSYT90082,PSYT90084,PSYT90086,PSYT90087,PSYT90088,PSYT90090,PSYT90092,PSYT90093,PSYT90094,PSYT90095,PSYT90096,PSYT90097,PSYT90098,PSYT90099,PSYT90100,PSYT90101,PSYT90102,PSYT90103,PSYT90104,PSYT90105,PSYT90106,PSYT90107,PSYT90109,PSYT90110,PSYT90112,PSYT90113,PSYT90114,PSYT90115,PSYT90116,PSYT90117,PSYT90118,PSYT90119,PUBL90001,PUBL90002,PUBL90003,PUBL90004,PUBL90005,PUBL90006,PUBL90007,PUBL90009,PUBL90010,PUBL90012,PUBL90013,PUBL90014,PUBL90015,PUBL90016,PUBL90019,PUBL90020,PUBL90021,PUBL90022,PUBL90023,PUBL90024,RADI90003,RADI90010,RADI90011,RADI90012,RADI90013,RADI90014,RADI90015,RADI90016,RADI90017,RADI90018,RADI90019,RADI90020,RADI90021,RADI90022,RADI90023,RADI90024,REHB90001,REHB90002,REHB90003,REHB90004,REHB90005,REHB90006,REHB90007,REHB90008,REHB90009,REHB90010,REHB90011,REHB90012,REHB90013,RURA90008,RURA90009,RUSS10001,RUSS10002,RUSS20004,RUSS20005,RUSS20006,RUSS20007,RUSS30001,RUSS30002,RUSS30005,RUSS40006,RUSS40007,RUSS40009,RUSS40010,SCIE10001,SCIE10002,SCIE10003,SCIE10004,SCIE20001,SCIE20002,SCIE30001,SCIE30002,SCIE30003,SCIE40001,SCIE90002,SCIE90005,SCIE90006,SCIE90011,SCIE90012,SCIE90013,SCIE90014,SCIE90015,SCIE90016,SCIE90017,SCIE90018,SCIE90019,SCIE90020,SCIE90021,SCIE90022,SCIE90023,SCIE90024,SCIE90025,SCIE90026,SCIE90027,SCRN10001,SCRN20011,SCRN20013,SCRN20014,SCRN30001,SCRN30004,SCRN30005,SCRN40002,SCRN40003,SCRN40005,SCRN40006,SCRN40009,SCRN40010,SCRN40013,SCRN40015,SCRN40017,SCRN40018,SCRN50001,SCRN90002,SCRN90004,SCRN90006,SCRN90009,SCWK90027,SCWK90038,SCWK90039,SCWK90045,SCWK90046,SCWK90048,SCWK90049,SCWK90050,SCWK90051,SCWK90053,SCWK90054,SCWK90055,SCWK90056
SCWK90057,SCWK90058,SCWK90059,SCWK90060,SCWK90061,SCWK90062,SCWK90063,SCWK90064,SCWK90065,SCWK90066,SCWK90067,SCWK90068,SCWK90069,SCWK90070,SCWK90071,SKIL90004,SMED90001,SMED90002,SOCI10001,SOCI10003,SOCI20009,SOCI20010,SOCI20014,SOCI20016,SOCI20017,SOCI20018,SOCI30001,SOCI30005,SOCI30009,SOCI30012,SOCI30013,SOCI30014,SOCI30015,SOCI40003,SOCI40006,SOCI40007,SOCI90003,SOCI90004,SOCI90005,SOCI90006,SOCI90010,SOCI90011,SOCI90012,SOCI90013,SOCI90016,SOCI90017,SOCI90018,SOCI90019,SOCI90020,SOCI90021,SOLS10001,SOLS20001,SOLS30001,SOLS40002,SOLS40003,SOLS90004,SOLS90005,SOTH20002,SOTH20003,SOTH20006,SOTH30001,SOTH30004,SOTH40001,SOTH40002,SOTH40003,SOTH40004,SOTH90006,SOTH90007,SPAN10001,SPAN10002,SPAN10003,SPAN10004,SPAN10007,SPAN10008,SPAN20001,SPAN20002,SPAN20003,SPAN20016,SPAN20017,SPAN20018,SPAN20019,SPAN20022,SPAN20024,SPAN20025,SPAN30001,SPAN30012,SPAN30013,SPAN30014,SPAN30015,SPAN30016,SPAN30017,SPAN30019,SPAN30020,SPAN30021,SPAN40002,SPAN40003,SPAN40007,SPAN40008,SPAN90002,SPAN90003,SPAN90004,SURG40001,SURG40002,SURG40005,SURG90021,SURG90022,SURG90023,SURG90024,SURG90025,SURG90026,SURG90027,SURG90028,SURG90029,SURG90030,SURG90031,SWEN20003,SWEN30006,SWEN30007,SWEN90004,SWEN90006,SWEN90007,SWEN90009,SWEN90010,SWEN90013,SWEN90014,SWEN90016,THTR10007,THTR10009,THTR10019,THTR10022,THTR20022,THTR20023,THTR20029,THTR20030,THTR20031,THTR20032,THTR20033,THTR20034,THTR20035,THTR20036,THTR20037,THTR20038,THTR20039,THTR20040,THTR20041,THTR20042,THTR20043,THTR30021,THTR30022,THTR30023,THTR30024,THTR30025,THTR30026,THTR30027,THTR30028,THTR30029,THTR30030,THTR30031,THTR30039,THTR30041,THTR30042,THTR40003,THTR40004,THTR40006,THTR40007,THTR40008,THTR40009,THTR40010,THTR40011,THTR60003,THTR60004,THTR60005,THTR60006,THTR60007,THTR60008,THTR60009,THTR60010,THTR60011,THTR60012,THTR60013,THTR60014,THTR60015,THTR60016,THTR60029,THTR60030,THTR70006,THTR70008,THTR70009,THTR70010,THTR70011,THTR70014,THTR90006,THTR90007,THTR90009,TRAN90001,TRAN90003,TRAN90006,TRAN90007,TRAN90008,TRAN90009
TRAN90010,TRAN90011,TRAN90012,TRAN90013,TRAN90014,TRAN90015,TRAN90016,TRAN90017,TRAN90018,TRAN90019,TRAN90020,TRAN90021,TRAN90022,UNIB10002,UNIB10003,UNIB10004,UNIB10005,UNIB10006,UNIB10007,UNIB10009,UNIB10010,UNIB10011,UNIB10013,UNIB10014,UNIB10016,UNIB10017,UNIB10018,UNIB20001,UNIB20008,UNIB20009,UNIB20012,UNIB20013,UNIB20014,UNIB20016,UNIB20018,UNIB20019,UNIB20020,UNIB30002,UNIB30003,UNIB30005,UNIB30007,UNIB30008,UNIB30010,UNIB30011,UNIB30012,VETS20014,VETS20015,VETS30013,VETS30014,VETS30015,VETS30016,VETS30017,VETS30018,VETS40017,VETS40018,VETS40020,VETS40021,VETS40022,VETS40023,VETS60003,VETS70001,VETS70002,VETS90027,VETS90028,VETS90029,VETS90031,VETS90032,VETS90036,VETS90037,VETS90038,VETS90039,VETS90040,VETS90041,VETS90042,VETS90043,VETS90044,VETS90045,VETS90046,VETS90047,VETS90048,VETS90049,VETS90050,VETS90051,VETS90052,VETS90053,VETS90054,VETS90055,VETS90056,VETS90057,VETS90058,VETS90059,VETS90060,VETS90061,VETS90062,VETS90064,VETS90065,VETS90066,VETS90067,VETS90068,VETS90069,VETS90070,VETS90071,VETS90072,VETS90073,VETS90074,VETS90075,VETS90076,VETS90077,VETS90078,VETS90079,VETS90080,VETS90081,VETS90082,VETS90083,VETS90084,VETS90085,VETS90086,VETS90087,VETS90088,VETS90089,VETS90090,VETS90091,VETS90092,VETS90093,VETS90094,VETS90095,VETS90096,VETS90097,VETS90098,VETS90099,VETS90100,VETS90101,VETS90102,VETS90103,VETS90104,VETS90105,VETS90106,VETS90107,VETS90108,VETS90109,VETS90110,VISM40009,WELF90004,WELF90005,WELF90006,WELF90007,WELF90008,WELF90009,XNTS20035,ZOOL20004,ZOOL20005,ZOOL20006,ZOOL30004,ZOOL30006,ZOOL30007,ZOOL30008,ZOOL30009,ZOOL90007




















